course_id,title,platform,provider,category,subcategory,skills,difficulty,duration_hours,rating,enrolled,price_usd,certificate,description,url_slug,prerequisites,learning_outcomes
W003,TypeScript Complete Guide,Udemy,Academind,Web Development,TypeScript,"TypeScript,JavaScript,generics,decorators,OOP",Intermediate,15,4.7,400000,15,Yes,"Understand TypeScript deeply and use it in real projects",typescript-complete,"JavaScript basics","Write TypeScript, use generics and decorators, migrate JS projects"
W004,FastAPI - The Complete Course,Udemy,Eric Roby,Web Development,FastAPI,"FastAPI,python,REST APIs,SQLAlchemy,OAuth2",Intermediate,13,4.6,100000,15,Yes,"Build fast, modern APIs with FastAPI and Python",fastapi-complete,"python basics","Build REST APIs, connect to databases, implement authentication"
W005,GraphQL with React,Udemy,Stephen Grider,Web Development,GraphQL,"GraphQL,React,Apollo,Node.js,MongoDB",Intermediate,17,4.5,150000,15,Yes,"Go from zero to full-stack GraphQL applications",graphql-react,"React basics","Build GraphQL APIs, use Apollo client, query and mutate data"
W006,Django REST Framework Complete,Udemy,Brad Traversy,Web Development,Django,"Django,Django REST,python,PostgreSQL,JWT",Intermediate,10,4.6,200000,15,Yes,"Build REST APIs with Django and Django REST Framework",django-rest,"python basics","Build RESTful APIs, implement JWT authentication, connect to PostgreSQL"
S001,Certified Kubernetes Administrator,Udemy,Mumshad Mannambeth,DevOps,Kubernetes,"kubernetes,CKA,Docker,networking,storage,security",Advanced,19,4.7,200000,15,Yes,"Prepare for Certified Kubernetes Administrator exam",cka-prep,"Docker,Linux basics","Administer Kubernetes clusters, troubleshoot, implement security"
S002,Terraform for DevOps Engineers,Udemy,Sanjeev Thiyagarajan,DevOps,Infrastructure as Code,"terraform,AWS,infrastructure as code,modules,state",Intermediate,12,4.6,150000,15,Yes,"Master Terraform for multi-cloud infrastructure automation",terraform-devops,"cloud basics","Write Terraform configs, manage state, create reusable modules"
S003,Jenkins CI/CD Pipeline,Udemy,Imran Teli,DevOps,CI/CD,"Jenkins,CI/CD,GitHub Actions,Docker,Kubernetes",Intermediate,13,4.5,100000,15,Yes,"Build CI/CD pipelines with Jenkins and modern DevOps tools",jenkins-cicd,"DevOps basics","Build Jenkins pipelines, integrate with GitHub, deploy to Kubernetes"
S004,Ansible for the Absolute Beginner,Udemy,Mumshad Mannambeth,DevOps,Automation,"Ansible,configuration management,YAML,automation",Beginner,5,4.7,200000,15,Yes,"Learn Ansible configuration management from scratch",ansible-beginner,"Linux basics","Write Ansible playbooks, manage configurations, automate deployments"
S005,Linux Command Line Basics,Coursera,University of Michigan,IT,Linux,"Linux,bash,shell scripting,command line,system administration",Beginner,20,4.6,400000,49,Yes,"Master the Linux command line and shell scripting",linux-basics,"none","Navigate Linux, write shell scripts, manage files and processes"
B001,Data Science Ethics,Coursera,University of Michigan,Data Science,Ethics,"ethics,bias,privacy,fairness,responsible AI",Beginner,10,4.6,200000,0,Yes,"Understand ethical challenges in data science and AI",ds-ethics,"none","Identify ethical issues, apply ethical frameworks, ensure fairness"
B002,Introduction to Responsible AI,Coursera,Google,AI/ML,AI Ethics,"responsible AI,bias,fairness,transparency,explainability",Beginner,6,4.7,300000,0,Yes,"Understand Google's approach to responsible AI development",responsible-ai,"none","Apply responsible AI principles, identify bias, explain AI decisions"
B003,AI Product Management,Coursera,Duke University,Management,AI Product,"product management,AI strategy,ML products,roadmapping",Intermediate,20,4.5,100000,49,Yes,"Manage AI products and data science teams effectively",ai-product-mgmt,"product basics","Develop AI product strategy, work with data teams, manage ML products"
B004,Econometrics and Data Analysis,Coursera,Columbia University,Data Science,Econometrics,"R,econometrics,regression,panel data,time series",Advanced,50,4.5,100000,79,Yes,"Apply econometric methods to real-world economic analysis",econometrics,"statistics,R","Run regression analysis, work with time series, handle panel data"
B005,Supply Chain Analytics,Coursera,Rutgers University,Data Science,Analytics,"analytics,supply chain,optimization,forecasting,Excel",Beginner,20,4.4,100000,49,Yes,"Apply analytics to optimize supply chains and logistics",supply-chain-analytics,"none","Forecast demand, optimize inventory, analyze supply chain data"
X001,Hugging Face NLP Course,Coursera,Hugging Face,AI/ML,NLP,"transformers,Hugging Face,BERT,GPT,fine-tuning,tokenizers",Intermediate,25,4.8,400000,0,Yes,"Master the Hugging Face ecosystem for NLP",huggingface-nlp,"python,NLP basics","Use pre-trained models, fine-tune transformers, build NLP pipelines"
X002,Fast.ai Practical Deep Learning,Coursera,Fast.ai,AI/ML,Deep Learning,"python,PyTorch,fast.ai,computer vision,NLP,tabular data",Beginner,30,4.8,500000,0,Yes,"Top-down practical approach to deep learning",fastai-practical,"python basics","Build and deploy DL models, use fast.ai library, transfer learning"
X003,OpenCV Computer Vision,Udemy,Murtaza Hassan,AI/ML,Computer Vision,"OpenCV,python,computer vision,image processing,object tracking",Intermediate,11,4.7,200000,15,Yes,"Complete OpenCV course with Python for computer vision",opencv-python,"python basics","Process images/video, detect objects, track motion with OpenCV"
X004,Time Series Analysis in Python,Udemy,Jose Portilla,Data Science,Time Series,"python,time series,ARIMA,Prophet,forecasting",Intermediate,16,4.5,150000,15,Yes,"Master time series analysis and forecasting in Python",time-series-python,"python,statistics","Analyze time series data, build ARIMA models, forecast with Prophet"
X005,Recommender Systems,Coursera,University of Minnesota,AI/ML,Recommender Systems,"collaborative filtering,content-based,matrix factorization,evaluation",Advanced,30,4.6,100000,79,Yes,"Build sophisticated recommender systems from scratch",recommender-systems,"machine learning,python","Implement collaborative/content-based filtering, evaluate systems"
X006,Graph Neural Networks,Coursera,DeepLearning.AI,AI/ML,Graph ML,"GNN,PyTorch Geometric,knowledge graphs,graph algorithms",Advanced,20,4.6,80000,49,Yes,"Master graph neural networks for ML on graph data",graph-nn,"deep learning,python","Build GNNs, work with knowledge graphs, apply to real problems"
X007,Probabilistic Graphical Models,Coursera,Stanford University,AI/ML,Probabilistic ML,"Bayesian networks,probabilistic models,inference,learning",Advanced,50,4.7,100000,79,Yes,"Master probabilistic graphical models for reasoning under uncertainty",pgm-stanford,"statistics,machine learning","Build Bayesian networks, perform inference, learn from data"
X008,Robotics Specialization,Coursera,University of Pennsylvania,AI/ML,Robotics,"robotics,ROS,motion planning,computer vision,control",Advanced,70,4.6,80000,79,Yes,"Learn robotic systems design and programming",robotics-spec,"linear algebra,python","Program robots, implement motion planning, use ROS"
X009,Causal Inference,Coursera,DeepLearning.AI,Data Science,Causal AI,"causal inference,DAGs,counterfactuals,A/B testing,experimentation",Advanced,15,4.7,100000,49,Yes,"Understand causal reasoning for data science and ML",causal-inference,"statistics,ml basics","Apply causal inference, design experiments, reason about causality"
X010,Federated Learning,Coursera,DeepLearning.AI,AI/ML,Privacy ML,"federated learning,privacy,differential privacy,secure aggregation",Advanced,12,4.6,60000,49,Yes,"Build privacy-preserving ML systems with federated learning",federated-learning,"deep learning","Implement federated learning, apply differential privacy"
V001,Vue.js 3 - The Complete Guide,Udemy,Maximilian Schwarzmuller,Web Development,Vue.js,"Vue.js,JavaScript,Vuex,Vue Router,Composition API",Intermediate,32,4.7,350000,15,Yes,"Master Vue.js 3 with Vuex and Vue Router for modern web apps",vuejs-complete,"JavaScript basics","Build reactive Vue apps, manage state with Vuex, use Composition API"
V002,Angular - The Complete Guide,Udemy,Maximilian Schwarzmuller,Web Development,Angular,"Angular,TypeScript,RxJS,NgRx,REST APIs",Intermediate,34,4.6,300000,15,Yes,"The complete Angular guide from beginner to advanced",angular-complete,"TypeScript basics","Build Angular apps, use RxJS, manage state with NgRx"
V003,Svelte & SvelteKit Complete Course,Udemy,Traversy Media,Web Development,Svelte,"Svelte,SvelteKit,JavaScript,TypeScript,SSR",Intermediate,12,4.6,80000,15,Yes,"Build fast, lightweight web apps with Svelte and SvelteKit",svelte-complete,"JavaScript basics","Build Svelte components, use SvelteKit for SSR, deploy apps"
V004,Spring Boot 3 & Spring Framework,Udemy,Chad Darby,Web Development,Java,"Java,Spring Boot,Spring MVC,REST APIs,JPA,Hibernate",Intermediate,41,4.7,200000,15,Yes,"Build enterprise Java applications with Spring Boot 3",spring-boot,"Java basics","Build REST APIs with Spring, use JPA for data, secure with Spring Security"
V005,Go Programming Bootcamp,Udemy,Todd McLeod,Programming,Go,"Go,concurrency,goroutines,channels,REST APIs",Intermediate,20,4.5,150000,15,Yes,"Master the Go programming language from scratch to advanced",go-bootcamp,"programming basics","Write Go programs, use goroutines, build web servers"
V006,Rust Programming: The Complete Guide,Udemy,Akhil Sharma,Programming,Rust,"Rust,ownership,borrowing,concurrency,WebAssembly",Advanced,20,4.6,100000,15,Yes,"Learn Rust - the systems programming language of the future",rust-complete,"programming basics","Write safe Rust programs, understand ownership, build CLI tools"
V007,C++ Complete Masterclass,Udemy,Tim Buchalka,Programming,C++,"C++,OOP,STL,templates,memory management",Intermediate,52,4.5,250000,15,Yes,"Comprehensive C++ from beginner to professional",cpp-masterclass,"programming basics","Write modern C++, use STL, implement data structures"
V008,iOS Development with Swift,Udemy,Dr. Angela Yu,Mobile Development,iOS,"Swift,iOS,UIKit,SwiftUI,Xcode,Core Data",Beginner,55,4.8,400000,15,Yes,"Build iOS apps with Swift - from beginner to App Store",ios-swift,"none","Build iOS apps, use SwiftUI, connect to REST APIs, publish to App Store"
V009,Android Development with Kotlin,Udemy,Philipp Lackner,Mobile Development,Android,"Kotlin,Android,Jetpack Compose,Room,MVVM",Intermediate,40,4.7,200000,15,Yes,"Build modern Android apps with Kotlin and Jetpack Compose",android-kotlin,"programming basics","Build Android apps with Compose, use Room database, follow MVVM"
V010,Unity Game Development Complete,Udemy,GameDev.tv,Game Development,Unity,"Unity,C#,game development,physics,animation,VR",Beginner,35,4.7,500000,15,Yes,"Create 2D and 3D games with Unity and C#",unity-complete,"none","Build 2D/3D games, implement physics and AI, publish to platforms"
V011,MongoDB - The Complete Guide,Udemy,Maximilian Schwarzmuller,Databases,NoSQL,"MongoDB,NoSQL,aggregation,indexing,Atlas",Intermediate,17,4.6,150000,15,Yes,"Master MongoDB for modern application development",mongodb-complete,"databases basics","Design MongoDB schemas, write aggregations, optimize queries"
